,year,artist,title,lyric_url,lyric
50,1958,The Kirby Stone Four,"Baubles, Bangles And Beads","https://genius.com/the-kirby-stone-four-baubles,-bangles-and-beads-lyrics",
51,1958,The Rinky-Dinks,Early In The Morning,https://genius.com/the-rinky-dinks-early-in-the-morning-lyrics,
52,1958,Nat King Cole,Come Closer To Me (Acercate Mas),https://genius.com/nat-king-cole-come-closer-to-me-(acercate-mas)-lyrics,
53,1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),https://genius.com/domenico-modugno-nel-blu-dipinto-di-blu-(volaré)-lyrics,
54,1958,The Three G's,Let's Go Steady For The Summer,https://genius.com/the-three-g's-let's-go-steady-for-the-summer-lyrics,
55,1958,Jack Scott,Leroy,https://genius.com/jack-scott-leroy-lyrics,"  I know a boy who was never blue Now he lives in Cellblock Two I don't know just why he's blue Leroy, what'd you do?  Leroy's back in jail again Leroy's back in jail again I don't know why, why he's blue Leroy, what'd you do?  Went to the judge, dig man wail I'm here and I got Leroy's bail Judge said son, don't cha tell me no tale Leroy, he's gonna stay in jail  Now, Leroy says man, you tried the best Man, I'm here gonna take a rest I've seen Minny, she's got the blues She let you wear my long pointed shoes  Now, Leroy's heart is a bowl of hate Leroy, he just can't go straight Tell my Minny, I can't keep my date I'm gonna be 'bout six months late  "
56,1958,Eydie Gorme,You Need Hands,https://genius.com/eydie-gorme-you-need-hands-lyrics,  You need hands To hold someone you care for You need hands To show that you're sincere When you feel Nobody wants to know you You need hands To brush away your tear  When you hold a brand new baby You need tender hands to guide them on their way You need hands To thank the Lord for living And for giving us this day  
57,1958,The Crickets,Fool's Paradise,https://genius.com/the-crickets-fool's-paradise-lyrics,
58,1958,Tony Bennett,Young And Warm And Wonderful,https://genius.com/tony-bennett-young-and-warm-and-wonderful-lyrics,"  Young and warm and wonderful You are all I dreamed you'd be Dreams that seemed improbable All at once have come true, now I see  Every searching heart finds its happiness Love is only a matter of time  Young and warm and wonderful at last You're here, my love, and love is mine  Every searching heart finds its happiness Love is only a matter of time  Young and warm and wonderful at last You're here, my love, and love is mine  "
59,1958,Bobby Day,Over And Over,https://genius.com/bobby-day-over-and-over-lyrics,"  Ah-mmm, ah-mmm, ah-mmm, ah-mmm Well, I went to a dance just the other night Everybody there was there I said over and over and over again This dance is gonna be a drag I said over and over and over again This dance is gonna be a drag I said over and over and over again This dance is gonna be a drag  Ah-mmm, ah-mmm, ah-mmm, ah-mmm All at once it happened The prettiest in the world I said a-won't you come over and a-talk to me And be my girl I said a-won't you come over and a-talk to me And be my girl I said a-won't you come over and a-talk to me And be my girl  [Harmonica playing]  Ah-mmm, ah-mmm, ah-mmm, ah-mmm She said she was sorry And I was a little bit late She would a-wait and a-wait and a-wait and a-wait For her steady date She would a-wait and a-wait and a-wait and a-wait For her steady date She would a-wait and a-wait and a-wait and a-wait For her steady date  Ah-mmm, ah-mmm, ah-mmm, ah-mmm  "
